U1=1.45V
U3=7.43V
If=0.30A
T=20.0C
Type Ne


U2 [V]      Ia [nA]
0.00       0.0
0.44       0.0
1.18       0.0
1.92       0.0
2.66       0.0
3.40       0.0
4.14       0.0
4.88       0.0
5.62       0.0
6.36       0.0
7.10       0.0
7.84       0.214
8.58       1.395
9.31       2.327
10.05      3.296
10.79      4.268
11.53      5.32
12.27      6.33
13.01      7.296
13.75      8.3
14.49      9.401
15.23      10.503
15.97      11.554
16.71      12.589
17.45      13.544
18.19      13.539
18.93      11.34
19.67      8.651
20.41      5.733
21.14      3.427
21.88      1.756
22.62      0.355
23.36      0.0
24.10      0.0
24.83      2.689
25.57      7.655
26.31      10.496
27.05      14.163
27.79      17.086
28.53      19.791
29.26      22.224
30.00      24.41
30.74      26.386
31.48      28.335
32.22      30.218
32.95      31.935
33.69      33.425
34.43      34.669
35.17      34.968
35.90      33.057
36.64      30.466
37.38      27.073
38.12      23.334
38.85      19.788
39.59      16.293
40.33      12.99
41.07      10.82
41.80      13.42
42.54      14.19
43.28      15.958
44.02      19.383
44.75      22.248
45.49      25.708
46.23      29.177
46.96      32.966
47.70      36.9
48.44      40.773
49.18      44.726
49.92      48.724
50.65      52.516
51.39      56.385
52.13      59.729
52.86      61.62
53.60      62.575
54.34      63.032
55.08      62.239
55.81      60.851
56.55      59.015
57.29      56.926
58.02      55.919
58.76      56.297
59.50      55.129
60.24      56.494
60.98      57.661
61.71      59.198
62.45      62.31
63.19      65.222
63.93      69.559
64.67      74.441
65.42      80.01
66.15      86.457
66.89      93.288
67.63      100.877
68.36      109.125
69.08      118.226
69.80      127.727
70.52      137.769
71.23      147.425
71.95      157.329
72.66      167.752
73.38      177.824
