U1=7.39V
U3=1.91V
If=0.41A
T=125.5C
Type Hg


U2 [V]      Ia [nA]
0.00       0.0
0.06       0.0
0.35       0.0
0.65       0.0
0.94       0.0
1.24       0.0
1.54       0.0
1.83       0.0
2.13       0.0
2.43       0.0
2.72       0.0
3.02       0.0
3.32       0.0
3.61       0.0
3.91       0.0
4.20       0.296
4.50       0.425
4.80       0.538
5.09       0.39
5.39       0.195
5.69       0.0
5.98       0.0
6.28       0.0
6.58       0.0
6.87       0.0
7.17       0.0
7.47       0.0
7.76       0.201
8.06       0.43
8.35       0.896
8.65       1.378
8.95       1.913
9.24       2.372
9.54       2.719
9.83       2.551
10.13      2.296
10.43      1.699
10.72      1.15
11.02      0.803
11.32      0.521
11.61      0.341
11.91      0.364
12.20      0.529
12.49      0.711
12.79      1.024
13.09      1.669
13.38      2.216
13.68      2.875
13.98      3.611
14.27      4.09
14.57      4.186
14.86      4.143
15.16      3.838
15.45      3.149
15.75      2.6
16.05      2.088
16.34      1.703
16.64      1.448
16.92      1.374
17.23      1.388
17.52      1.546
17.82      1.882
18.11      2.432
18.41      3.099
18.70      3.731
19.00      4.342
19.29      4.872
19.59      5.087
19.88      5.146
20.18      4.861
20.47      4.507
20.77      4.138
21.06      3.732
21.36      3.258
21.65      3.04
21.94      2.853
22.23      2.63
22.53      2.845
22.83      3.04
23.12      3.373
23.41      4.008
23.71      4.525
24.00      5.116
24.29      5.486
24.59      5.87
24.88      5.975
25.18      5.928
25.47      5.863
25.76      5.523
26.05      5.321
26.35      5.127
26.64      4.937
26.93      4.715
27.22      4.562
27.51      4.54
27.81      4.587
28.10      4.723
28.39      5.144
28.68      5.541
28.97      6.233
29.21      6.966
